,City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
397,kosd,hu,47.807912,19.178213,39.2,64,0,5.82
398,krasnogorsk,ru,48.4,142.1,24.12,97,12,3.4
399,mahbubabad,in,17.616667,80.016667,77.22,69,44,8.88
400,dmitriyevka,ru,52.8832,40.7855,28.3,94,80,5.41
401,opole lubelskie,pl,51.148001,21.969903,26.41,89,68,6.2
402,hanyang,cn,27.089167,119.645278,52.24,100,48,0.94
403,bagu,ph,18.422778,121.358333,73.3,93,76,9.55
404,el obraje,hn,14.0,-86.4333333,77.53,61,80,5.97
405,lincolnia,us,38.8183333,-77.1436111,46.4,75,90,6.93
406,tajao,ph,10.3148,123.5835,75.2,83,90,3.36
407,ciocarlia,ro,44.8,26.666667,42.8,93,90,6.93
408,olsberg,de,51.35,8.5,42.8,81,0,3.36
409,rudnya,ru,54.946977,31.093395,10.48,79,0,3.62
410,bexley,us,39.9688889,-82.9377778,51.8,100,90,8.05
411,balyaga,ru,51.1507,108.921,12.37,72,44,2.39
412,guadalupe,pe,-7.25,-79.4833333,80.6,61,0,16.11
413,palmerston,au,-12.45722,130.836639,80.6,88,75,3.36
414,dire,ml,12.2833333,-10.9666667,82.84,25,36,6.98
415,fresnes,fr,48.757423,2.321484,51.8,71,75,17.22
416,bacnor,ph,16.983333,121.633333,67.59,96,92,0.94
417,kramat,id,-6.8688,109.2074,82.44,100,76,7.54
418,staryye atagi,ru,43.120278,45.740556,39.6,81,48,2.17
419,pervomayskiy,ru,55.517778,37.22,23.0,52,0,6.71
420,svobody,ru,44.025556,43.050278,41.0,100,0,2.24
421,atotonilco el alto,mx,20.55,-102.516667,85.18,24,0,5.64
422,palguyod,ph,16.1227,120.52,65.25,90,12,2.84
423,laurens,us,34.4988889,-82.0144444,53.6,81,90,4.41
424,majalaya,id,-7.0485,107.7631,66.01,95,68,1.95
425,sopot,bg,43.0166667,24.4166667,28.8,83,24,4.18
426,saryshagan,kz,46.119167,73.619167,31.77,81,12,10.22
427,lazaro cardenas,mx,17.958333,-102.2,85.36,58,12,7.2
428,babanka,ua,48.709706,30.448267,32.26,88,48,3.4
429,malocloc,ph,11.497,122.696,72.31,93,100,3.96
430,vasai,in,19.35,72.8,82.4,83,40,3.36
431,bacolod,ph,12.228544,123.50851,77.49,99,76,10.0
432,watauga,us,32.8577778,-97.2544444,66.2,100,90,4.7
433,nitchidorf,ro,45.583333,21.533333,39.2,93,75,2.24
434,urgut,uz,39.4022222,67.2430556,48.2,93,20,4.7
435,romanovo,ru,52.6182,81.2271,23.26,83,0,11.45
436,villa union,mx,23.2,-106.233333,80.6,57,5,8.05
437,san diego,ph,14.0422,120.6255,75.2,100,20,1.12
438,shujaabad,pk,29.879668,71.29313,77.0,61,0,4.7
439,aracruz,br,-19.816667,-40.266667,80.6,83,20,4.7
440,deer lake,ca,49.183333,-57.433333,48.2,12,20,8.05
441,woodbridge,us,41.3525,-73.0088889,48.2,41,90,9.17
442,pio,ph,15.0466,120.5181,75.2,78,40,2.24
443,pully,ch,46.510544,6.656071,42.8,87,90,9.17
444,gullhaug,no,59.5,10.25,26.6,45,0,2.24
445,sumen,bg,43.2766667,26.9291667,33.25,92,12,5.75
446,tarm,dk,55.908615,8.530412,35.6,95,80,14.99
447,dalsingh sarai,in,25.666667,85.833333,66.87,60,0,2.62
448,southbridge,nz,-43.816667,172.25,57.2,67,0,1.12
449,khryashchevka,ru,53.8119,49.0916,33.8,69,75,8.95
450,brodowski,br,-20.983333,-47.666667,84.2,45,20,5.82
451,rodniki,ru,55.652041,38.066846,23.0,49,0,11.18
452,rybnoye,ru,54.727742,39.517314,21.91,88,92,14.03
453,qiryat shemona,il,33.207334,35.572118,64.4,68,0,3.36
454,tarauaca,br,-8.166667,-70.766667,78.8,74,90,3.36
455,alexandria,ro,43.983333,25.333333,33.88,91,0,8.99
456,coyotepec,mx,16.976944,-96.699167,86.0,20,40,6.93
457,gatun,pa,9.2916667,-79.7688889,91.4,49,20,18.34
458,dezful,ir,32.3825,48.402,64.62,57,0,3.74
459,blackwood,gb,55.666667,-3.916667,42.8,86,40,8.05
460,castlegar,ca,49.316667,-117.666667,41.0,86,90,4.7
461,hajduszoboszlo,hu,47.45,21.4,42.8,81,75,1.12
462,bois des amourettes,mu,-20.3630556,57.7311111,75.2,88,20,5.82
463,eaglesham,gb,55.733333,-4.266667,42.8,86,40,8.05
464,glushkovo,ru,51.339167,34.632778,32.71,94,88,7.76
465,ramat hasharon,il,32.147222,34.841667,68.0,72,0,5.82
466,oranjemund,na,-28.55,16.4333333,61.6,98,0,7.2
467,korgen,no,66.083333,13.833333,26.6,92,75,1.12
468,lino lakes,us,45.1602778,-93.0886111,46.4,72,1,6.93
469,paitan,ph,15.833333,120.733333,70.74,97,76,3.4
470,athmallik,in,20.716667,84.533333,63.76,70,0,2.39
471,traunstein,de,47.883333,12.65,37.4,89,0,6.93
472,miami springs,us,25.8219444,-80.2897222,77.0,47,75,18.34
473,chetani,ro,46.466667,24.033333,39.2,93,90,4.7
474,palembang,id,-2.916667,104.75,74.47,93,80,2.84
475,cibadak,id,-6.536389,106.770278,77.0,88,40,4.7
476,wuzhou,cn,23.483333,111.316667,57.46,91,12,1.95
477,lambontong,ph,6.308333,124.810556,68.17,99,12,3.4
478,suicheng,cn,21.414225,110.236498,64.03,99,68,2.95
479,mosta,ru,56.530118,42.163202,16.96,89,44,12.24
480,bolzano,it,46.516667,11.366667,53.6,40,20,6.93
481,slobozia bradului,ro,45.5,27.05,32.4,99,76,2.73
482,redondo,pt,38.648716,-7.547082,64.4,48,0,4.7
483,awbari,ly,26.5833333,12.7666667,58.36,26,0,12.68
484,gofitskoye,ru,45.079167,43.046389,40.18,90,0,2.95
485,saramech,am,40.7725,44.2191667,42.8,56,20,6.98
486,yerbabuena,mx,20.966667,-101.266667,84.2,18,5,7.31
487,pipirig,ro,47.25,26.066667,35.6,100,92,6.93
488,gyongyos,hu,47.782571,19.928003,39.2,64,0,5.82
489,centerville,us,40.9180556,-111.8713889,48.2,33,40,8.05
490,dhulian,in,24.683333,87.966667,71.86,79,0,8.43
491,kotka,fi,60.466667,26.916667,19.4,67,0,4.7
492,chhapra,in,25.766667,84.75,73.4,53,0,5.82
493,kalianget,id,-7.05,113.933333,83.47,97,80,4.18
494,sandown,us,42.9286111,-71.1875,50.0,14,90,6.93
495,garden city,us,37.9716667,-100.8722222,48.2,45,90,11.41
496,oytal,kz,42.907222,73.273611,45.31,100,92,5.19
497,carmo do paranaiba,br,-18.983333,-46.35,74.92,49,0,5.97
498,cherepovets,ru,59.133333,37.9,12.82,77,32,2.95
499,nea alikarnassos,gr,35.3333333,25.15,55.4,87,12,4.7
